,Date_Time,Diff
41393,2017-07-25 10:39:46,-7.865
41347,2017-07-25 18:31:40,-18.28361111111111
41261,2017-07-26 12:48:41,-6.440277777777778
41214,2017-07-26 19:15:06,-10.5125
41172,2017-07-27 05:45:51,-3.563888888888889
41164,2017-07-27 09:19:41,-4.618888888888889
41139,2017-07-27 13:56:49,-5.020833333333333
41125,2017-07-27 18:58:04,-13.864166666666666
41072,2017-07-28 08:49:55,-6.450277777777778
41039,2017-07-28 15:16:56,-6.331388888888889
41011,2017-07-28 21:36:49,-20.503888888888888
40964,2017-07-29 18:07:03,-3.394722222222222
40947,2017-07-29 21:30:44,-20.971666666666668
40881,2017-07-30 18:29:02,-11.305555555555555
40843,2017-07-31 05:47:22,-4.117500000000001
40833,2017-07-31 09:54:25,-2.685277777777778
40827,2017-07-31 12:35:32,-2.5175
40814,2017-07-31 15:06:35,-3.035833333333333
40797,2017-07-31 18:08:44,-11.668333333333333
40766,2017-08-01 05:48:50,-3.987222222222222
40747,2017-08-01 09:48:04,-3.9258333333333333
40732,2017-08-01 13:43:37,-4.496944444444445
40703,2017-08-01 18:13:26,-2.379166666666667
40699,2017-08-01 20:36:11,-9.3125
40668,2017-08-02 05:54:56,-3.53
40655,2017-08-02 09:26:44,-3.8666666666666667
40644,2017-08-02 13:18:44,-9.456388888888888
40610,2017-08-02 22:46:07,-7.026666666666666
40585,2017-08-03 05:47:43,-4.111944444444445
40567,2017-08-03 09:54:26,-5.32
40532,2017-08-03 15:13:38,-18.450833333333332
40485,2017-08-04 09:40:41,-3.801111111111111
40472,2017-08-04 13:28:45,-6.455555555555556
40463,2017-08-04 19:56:05,-12.959722222222222
40435,2017-08-05 08:53:40,-4.605
40413,2017-08-05 13:29:58,-3.073611111111111
40402,2017-08-05 16:34:23,-2.694722222222222
40397,2017-08-05 19:16:04,-17.797500000000003
40330,2017-08-06 13:03:55,-5.079444444444444
40305,2017-08-06 18:08:41,-11.524166666666666
40278,2017-08-07 05:40:08,-4.056944444444445
40268,2017-08-07 09:43:33,-3.0211111111111113
40260,2017-08-07 12:44:49,-6.523888888888889
40235,2017-08-07 19:16:15,-15.288055555555555
40192,2017-08-08 10:33:32,-9.367777777777778
40167,2017-08-08 19:55:36,-13.600277777777778
40106,2017-08-09 09:31:37,-3.371111111111111
40049,2017-08-09 12:53:53,-6.101944444444444
39991,2017-08-09 19:00:00,-14.642222222222221
39859,2017-08-10 09:38:32,-3.7088888888888887
39817,2017-08-10 13:21:04,-5.168055555555555
39793,2017-08-10 18:31:09,-14.942777777777778
39624,2017-08-11 09:27:43,-3.2530555555555556
39588,2017-08-11 12:42:54,-8.34138888888889
39505,2017-08-11 21:03:23,-14.595833333333333
39377,2017-08-12 11:39:08,-7.631944444444445
39290,2017-08-12 19:17:03,-13.32
39168,2017-08-13 08:36:15,-4.406944444444445
39109,2017-08-13 13:00:40,-4.174722222222223
39085,2017-08-13 17:11:09,-16.14527777777778
38944,2017-08-14 09:19:52,-3.1444444444444444
38908,2017-08-14 12:28:32,-6.065277777777778
38850,2017-08-14 18:32:27,-19.322222222222223
38653,2017-08-15 13:51:47,-4.7775
38623,2017-08-15 18:38:26,-11.171666666666667
38520,2017-08-16 05:48:44,-3.406388888888889
38492,2017-08-16 09:13:07,-3.910833333333333
38460,2017-08-16 13:07:46,-5.883611111111111
38402,2017-08-16 19:00:47,-11.519722222222223
38306,2017-08-17 06:31:58,-2.89
38273,2017-08-17 09:25:22,-6.786944444444444
38179,2017-08-17 16:12:35,-3.9
38155,2017-08-17 20:06:35,-13.22861111111111
38009,2017-08-18 09:20:18,-5.274444444444445
37957,2017-08-18 14:36:46,-4.413333333333334
37914,2017-08-18 19:01:34,-13.300833333333333
37775,2017-08-19 08:19:37,-3.453888888888889
37731,2017-08-19 11:46:51,-3.1438888888888887
37694,2017-08-19 14:55:29,-5.069166666666667
37654,2017-08-19 19:59:38,-14.254444444444445
37531,2017-08-20 10:14:54,-2.891111111111111
37489,2017-08-20 13:08:22,-5.845277777777778
37401,2017-08-20 18:59:05,-3.004166666666667
37381,2017-08-20 21:59:20,-11.730833333333333
37261,2017-08-21 09:43:11,-2.1672222222222226
37219,2017-08-21 11:53:13,-2.6780555555555554
37197,2017-08-21 14:33:54,-15.242222222222223
37088,2017-08-22 05:48:26,-3.667777777777778
37062,2017-08-22 09:28:30,-4.195555555555556
37038,2017-08-22 13:40:14,-21.192777777777778
36816,2017-08-23 10:51:48,-2.6663888888888887
36787,2017-08-23 13:31:47,-3.368888888888889
36776,2017-08-23 16:53:55,-15.492222222222223
36704,2017-08-24 08:23:27,-4.307777777777778
36673,2017-08-24 12:41:55,-2.49
36639,2017-08-24 15:11:19,-4.2575
36582,2017-08-24 19:26:46,-13.816944444444445
36484,2017-08-25 09:15:47,-5.832222222222223
36428,2017-08-25 15:05:43,-21.430833333333332
36240,2017-08-26 12:31:34,-5.466388888888889
36146,2017-08-26 17:59:33,-21.2825
35901,2017-08-27 15:16:30,-18.350555555555555
35730,2017-08-28 09:37:32,-5.188888888888889
35660,2017-08-28 14:48:52,-3.5416666666666665
35622,2017-08-28 18:21:22,-11.455555555555556
35529,2017-08-29 05:48:42,-3.7577777777777777
35477,2017-08-29 09:34:10,-3.4880555555555555
35441,2017-08-29 13:03:27,-4.142222222222223
35412,2017-08-29 17:11:59,-5.996666666666667
35336,2017-08-29 23:11:47,-7.251388888888889
35274,2017-08-30 06:26:52,-2.9133333333333336
35242,2017-08-30 09:21:40,-3.8808333333333334
35217,2017-08-30 13:14:31,-4.942777777777778
35166,2017-08-30 18:11:05,-11.598333333333333
35059,2017-08-31 05:46:59,-3.7530555555555556
35010,2017-08-31 09:32:10,-7.523333333333333
34926,2017-08-31 17:03:34,-12.639444444444445
34833,2017-09-01 05:41:56,-3.7
34803,2017-09-01 09:23:56,-2.191388888888889
34783,2017-09-01 11:35:25,-6.424444444444444
34719,2017-09-01 18:00:53,-19.2975
34537,2017-09-02 13:18:44,-6.671111111111111
34467,2017-09-02 19:59:00,-12.921666666666667
34365,2017-09-03 08:54:18,-3.2591666666666668
34332,2017-09-03 12:09:51,-6.9847222222222225
34249,2017-09-03 19:08:56,-25.170555555555556
34138,2017-09-04 20:19:10,-13.309722222222222
34026,2017-09-05 09:37:45,-4.185833333333334
