,Window_Velocity_Max,Mean_0,Mean_6,Mean_12,Mean_18,cgmTrend,FFT_1,FFT_2,FFT_3,FFT_4,FFT_5,FFT_6,FFT_7,FFT_8,acc1,acc2,acc3,acc4,Entropy
1,44.0,230.66666666666666,228.83333333333334,268.0,275.5,43.333333333333336,2445.0,436.38494159350444,436.38494159350444,322.1788815070952,322.1788815070952,112.49173284899558,112.49173284899557,51.88448708429141,0.85,1.05,0.75,-1.2,3.1989165287206847
2,60.0,104.66666666666667,110.5,70.33333333333333,73.5,63.33333333333333,5919.0,291.275267960651,291.275267960651,122.91424616059317,122.91424616059317,51.526116806781886,51.52611680678188,32.078029864690876,-1.0,-4.4,2.85,-0.6,2.985309073326188
3,38.0,187.16666666666666,175.0,209.83333333333334,210.16666666666666,36.666666666666664,4970.0,613.5656112825463,613.5656112825462,145.27843243109052,145.27843243109052,33.32786348603371,33.32786348603371,32.55864694020345,-0.85,1.4,0.05,-1.2,2.948118481440486
4,62.0,135.16666666666666,194.33333333333334,197.5,166.5,50.0,3425.0,806.6075935751503,806.6075935751501,464.81799529017496,464.81799529017496,271.33971313160316,271.33971313160316,199.92248497855363,3.55,-0.7,-3.25,0.45,3.3549875696248255
5,50.0,74.33333333333333,122.5,138.66666666666666,186.5,46.666666666666664,5270.0,629.538195718326,629.538195718326,302.5665474522416,302.5665474522416,235.005097681899,235.005097681899,145.44853679153312,1.85,-0.65,-0.5,0.65,3.262567945550166
6,12.0,199.0,196.5,151.0,116.5,40.0,5970.0,733.1908866191665,733.1908866191665,346.92274899588426,346.92274899588426,197.01400147102714,197.01400147102711,149.9435549247398,1.55,-1.75,-0.3,0.95,3.262567945550166
7,59.0,158.0,211.66666666666666,224.5,253.16666666666666,43.333333333333336,6324.0,625.1769979781992,625.1769979781992,270.1773264759778,270.17732647597774,122.4448365909498,122.4448365909498,98.2242332624694,2.7,-1.05,-0.95,1.4,3.152706716683355
8,93.0,230.5,242.5,226.83333333333334,189.66666666666666,40.0,3252.0,531.1201123935323,531.1201123935323,273.57954388461803,273.579543884618,133.53318556216627,133.53318556216627,118.86572118912484,-0.35,-1.95,1.0,-3.2,3.262567945550166
9,48.0,99.83333333333333,131.33333333333334,129.66666666666666,126.66666666666667,33.33333333333333,4950.0,248.9838951307833,248.98389513078328,206.71450192049713,206.7145019204971,119.87844704734493,119.87844704734492,59.90826320300064,0.3,-1.95,-0.05,-0.1,2.7307034060082627
10,57.0,188.66666666666666,162.5,161.66666666666666,149.66666666666666,60.0,6740.0,637.2679062974978,637.2679062974978,153.15362166855198,153.15362166855192,124.23060217229403,124.23060217229401,115.65898149300814,-3.8,2.85,-1.3,0.15,3.089055299853874
